"pol_id","losspaid","class4","tgroup"
4,1864,1101,4
25,10,1162,1
29,1165,1101,2
34,705,1101,3
88,4718,1162,2
88,1429,1162,2
101,949,1152,4
114,1005,1423,6
115,941,1101,4
121,577,1162,4
140,1541,1101,2
143,1113,1101,2
166,151,1101,1
174,2635,1101,6
176,10,1103,6
186,761,1101,4
190,8467,1101,1
192,3869,1101,5
206,1193,1101,3
208,2394,1101,4
215,3464,1101,6
215,1121,1101,6
220,10,1101,4
222,2093,1101,4
222,3365,1101,4
229,276,1101,3
233,1233,1101,2
251,541,1101,3
251,1320,1101,3
257,2279,1101,6
266,298,1243,4
282,182,1152,4
291,664,1101,5
292,518,1101,2
294,1281,1101,3
301,570,1268,2
304,4906,1106,6
305,5000,1101,5
305,6181,1101,5
311,6909,1101,6
320,3955,1152,2
345,3083,1162,4
353,432,1268,2
357,640,1101,1
362,1897,1101,1
367,1000,1101,2
384,309,1101,4
384,1486,1101,4
397,3690,1101,6
398,637,1101,5
421,60,1152,5
423,3276,1101,5
423,2009,1305,5
449,8631,1101,2
464,2301,1101,2
467,1899,1207,6
469,1522,1101,4
485,20400,1101,4
485,198,1101,4
487,718,1101,6
502,1173,1101,1
503,1651,1268,6
503,2350,1268,6
503,617,1268,6
503,4095,1268,6
503,5119,1268,6
511,2691,1101,2
512,2814,1101,2
514,1075,1101,6
521,1532,1101,1
531,1833,1101,6
535,1433,1101,1
548,2388,1305,2
550,3123,1423,5
550,8010,1423,5
550,2895,1423,5
567,245,1101,4
577,978,1423,4
584,1594,1428,2
604,3732,1101,1
613,1978,1152,2
616,1390,1269,2
628,1237,1101,6
635,2047,1103,5
648,330,1101,2
651,879,1162,5
651,9131,1162,5
666,2574,1101,4
674,1302,1101,6
697,447,1263,4
706,2102,1101,4
707,421,1101,6
726,4221,1152,2
726,783,1152,2
734,4291,1428,2
740,5,1101,2
742,1523,1101,4
742,5825,1101,4
742,1569,1101,4
746,364,1101,4
797,1844,1101,2
800,1052,1101,2
801,330,1101,2
807,1271,1101,5
807,4917,1101,5
807,6569,1101,5
837,6366,1152,3
842,584,1101,5
846,8165,1101,5
858,5163,1152,4
882,577,1101,4
888,1352,1101,4
891,5773,1101,4
891,2024,1101,4
892,964,1101,5
892,333,1101,5
898,4488,1101,1
899,1034,1101,4
911,980,1152,6
916,655,1101,1
933,940,1101,2
942,5,1101,6
942,1474,1101,6
960,294,1101,6
963,2472,1101,6
